Compressor Roll Force,Punch Stiffness,Pre-compressor Roll Force,Tab Cylinder High (main),Tab Fill Depth,Magnesium Citrate Quality,Particle Size Retention,Potency Concentration,Output
17.85000038,59,2.699999928,0.650000006,8.275000095,99.4,1.2,99.2,bad
16.05000019,138,3,0.694999993,8.815000057,99.4,2.75,99.19,bad
13.95000029,72,2.75,1.210000038,8.889999866,99.6,2.8,99.42,bad
12.1500001,75.5,2.649999976,1.230000019,8.420000076,99.5,2.6,99.34,bad
12.9000001,90,2.649999976,1.25,8.539999962,99.5,2.6,99.34,bad
12.9000001,76,2.5,1.209999979,8.43500042,99.55,2.7,99.38,bad
13.0999999,79,2.550000012,1.209999979,8.414999962,99.55,2.7,99.38,bad
12.8499999,71,2.649999976,1.210000038,8.909999847,99.6,2.8,99.42,bad
12.30000019,79,2.599999905,1.210000038,8.815000057,99.6,2.8,99.42,bad
12.9000001,75,2.649999976,1.210000038,8.815000057,99.6,2.8,99.42,bad
13.45000029,77,2.649999976,1.210000038,8.965000153,99.6,2.8,99.42,bad
12.0999999,71.5,2.549999952,1.220000029,8.360000134,99.5,2.6,99.34,bad
12.54999971,73,2.700000048,1.230000019,8.429999828,99.5,2.6,99.34,bad
12.5999999,74,2.700000048,1.230000019,8.390000343,99.5,2.6,99.34,bad
12.6500001,95.5,2.700000048,1.230000019,8.480000019,99.5,2.6,99.34,bad
11.54999971,80,2.5,1.230000019,8.300000191,99.5,2.6,99.34,bad
12,75,2.599999905,1.230000019,8.300000191,99.5,2.6,99.34,bad
11.95000029,76.5,2.600000024,1.230000019,8.260000229,99.5,2.6,99.34,bad
12.4000001,76.5,2.649999976,1.225000024,8.279999733,99.5,2.6,99.34,bad
12.3499999,78.5,2.649999976,1.225000024,8.28000021,99.5,2.6,99.34,bad
12.30000019,78.5,2.599999905,1.225000024,8.25,99.5,2.6,99.34,bad
12.94999981,75.5,2.599999905,1.214999974,8.340000153,99.5,2.6,99.34,bad
11.55000019,120.5,3.200000048,1.225000024,8.419999599,99.55,2.7,99.38,bad
